strategy,start,end,annual_return_arithmetic,cagr,annual_volatility,sharpe,sortino,calmar,max_drawdown,daily_skewness,daily_excess_kurtosis,daily_var_95,daily_cvar_95,worst_day,worst_month,worst_year,positive_month_share,positive_year_share
Skew,1990-06-12,2024-03-28,0.05465793988393574,0.05110071467548405,0.0981035973376465,0.5571451136069725,0.7948066803093847,0.21436131463122068,-0.23838589888943273,-0.19909089565859822,3.6500654542775086,-0.009831590523271793,-0.0143773028735196,-0.04707518084618383,-0.1004038962322783,-0.11433887587933367,0.5640394088669951,0.6857142857142857
Trend,1990-10-17,2024-03-28,0.08031289940198295,0.07520767349368174,0.1247742822855579,0.6436654888399133,0.9226419353224962,0.32281627558259335,-0.2329736112528802,-0.15698366451448517,2.7840125755477914,-0.012804854856950166,-0.01852091195049009,-0.05754854305261933,-0.11753706148195076,-0.12747199511153595,0.5597014925373134,0.6571428571428571
50% skew / 50% trend,1990-06-12,2024-03-28,0.06709181567562585,0.06571056915898077,0.0829460440763498,0.8088609459646982,1.1593305587998886,0.3775883176306016,-0.17402701855640057,-0.2455827678775404,4.5393988300236146,-0.008297737729642849,-0.012463898705541192,-0.045781262193316186,-0.08724140593737162,-0.06160830712668863,0.5689655172413793,0.8
