asset_class,annual_return_contribution,annual_contribution_volatility,share_of_total_annual_return
Agriculture,0.012651485116656843,0.040773144216474155,0.2314665562500496
Equity indices,0.010964474828617588,0.0304150159681691,0.20060168480371332
Metals,0.01039264452551846,0.03315333553044191,0.19013970426962457
Energy,0.009041194159710038,0.022707725149663745,0.16541410413397767
Currencies,0.006678324913858489,0.03948715823783392,0.12218398512713217
Government bonds,0.004929816339574313,0.052907892696788195,0.09019396541550247
