lookback_days,annual_return,annual_volatility,sharpe,max_drawdown,annual_turnover,annual_cost
63,0.039412242528562944,0.10764082535711443,0.3661458596011966,-0.3642892311252499,75.44406320467537,0.0075444063204675345
126,0.0633857401226182,0.10765226695830188,0.5888007927150303,-0.2749260406951275,41.159638713813074,0.004115963871381307
189,0.05230469371850978,0.1086607085368829,0.4813579298606902,-0.2527097766657076,32.50258833091596,0.003250258833091597
252,0.046508940334437365,0.10801701121909743,0.43057051671333946,-0.3038884373219193,28.397484154377576,0.002839748415437758
378,0.017741488341211028,0.10421849259961966,0.1702335919342953,-0.4688425688543324,23.694589816406427,0.0023694589816406425
504,0.035495395742892226,0.1049203814675263,0.3383079173599682,-0.40354853872455376,21.73830156065023,0.0021738301560650227
