strategy,start,end,annual_return_arithmetic,cagr,annual_volatility,sharpe,sortino,calmar,max_drawdown,daily_skewness,daily_excess_kurtosis,daily_var_95,daily_cvar_95,worst_day,worst_month,worst_year,positive_month_share,positive_year_share,scaling_multiplier,target_volatility,method
Skew,1990-06-12,2024-03-28,0.05571451136069726,0.052013844988624935,0.10000000000000003,0.5571451136069724,0.7948066803093846,0.21442712565535227,-0.24257119909458913,-0.19909089565859844,3.6500654542775086,-0.010021641193680264,-0.014655224949638442,-0.047985172943417746,-0.10226417432249135,-0.11662360379818693,0.5640394088669951,0.6857142857142857,1.019330612880857,0.1,Ex-post full-sample normalization; diagnostic only
Trend,1990-10-17,2024-03-28,0.06436654888399133,0.06115461113334941,0.10000000000000002,0.6436654888399133,0.9226419353224963,0.322480767726942,-0.18963801024292892,-0.1569836645144852,2.7840125755477914,-0.010262415156710763,-0.014843533147402294,-0.0461221190765209,-0.09497634999493931,-0.10202081561927856,0.5621890547263682,0.6571428571428571,0.8014472066538554,0.1,Ex-post full-sample normalization; diagnostic only
50% skew / 50% trend,1990-06-12,2024-03-28,0.08088609459646982,0.07882336791000633,0.1,0.8088609459646982,1.1593305587998888,0.38066920541397203,-0.20706525978188095,-0.2455827678775405,4.53939883002361,-0.010003777542428647,-0.015026513734721912,-0.05519402727775137,-0.10442300175332841,-0.0739369036885068,0.5689655172413793,0.7714285714285715,1.2056030051047697,0.1,Ex-post full-sample normalization; diagnostic only
