strategy,start,end,annual_return,annual_volatility,sharpe,max_drawdown,positive_year_share,yearly_p_value,cost_bps
Skew at 0 bp,1990-06-12,2024-03-28,0.058178694693432426,0.09810366309069436,0.5930328477097505,-0.236877462872487,0.7428571428571429,0.0006453528185228044,0.0
Skew at 0.5 bp,1990-06-12,2024-03-28,0.05641831728868462,0.09810359455511984,0.5750891957071542,-0.23763205080733907,0.7142857142857143,0.0008756930022322876,0.5
Skew at 1 bp,1990-06-12,2024-03-28,0.05465793988393681,0.09810359733764751,0.5571451136069776,-0.23838589888943418,0.6857142857142857,0.001185929493088489,1.0
Skew at 2 bp,1990-06-12,2024-03-28,0.0511371850744412,0.09810381685682965,0.5212558156536313,-0.23989137837180696,0.6857142857142857,0.0021598720246647327,2.0
Skew at 5 bp,1990-06-12,2024-03-28,0.040574920645954346,0.09810618701615793,0.4135816698214122,-0.24621072579310532,0.6285714285714286,0.012061736128059077,5.0
