date,SP500,NASDAQ,US2,US5,US10,US20,CRUDE_W,GOLD,COPPER,CORN,WHEAT,SOYBEAN,EUR,JPY,GBP
2019-06-16,0.04562572861007566,0.10823525982283151,-0.5622643292819505,-0.11729997362484998,0.11940913420688151,0.2372088025538463,0.11455184669608598,0.02141675149783051,0.09954434921713907,-0.10918429180247564,-0.08011505002498427,-0.07930701802867308,0.4310455712010638,-0.8947553852916468,-0.6318543935269145
2019-06-17,0.046541529168921715,0.10768712353928861,-0.6120580952295296,-0.10003015854587255,0.1372472580767472,0.25300361885889455,0.11347631921028548,0.013371275565506408,0.09009911213786415,-0.10930058999623025,-0.07649642925304688,-0.08323094598519018,0.42380748509185123,-0.8804731669837054,-0.6096057522528935
2019-06-18,0.048934685605357145,0.11184345960363817,-0.645578732996769,-0.08759592475898832,0.15959820489574705,0.2794757300360221,0.11693217072622678,0.010081863445010303,0.08660676921009905,-0.10480864652366029,-0.07639355761207176,-0.08965588590853765,0.3916228352376814,-0.887722179390168,-0.5561043525645145
2019-06-19,0.04979538409518003,0.11131161254717828,-0.6773138529618619,-0.07283342192245888,0.1741781000273609,0.29361179801591436,0.1170155556402594,0.013715108106608975,0.08047003657718145,-0.10500383168492297,-0.074326797828353,-0.09126028534476008,0.3813947968720275,-0.8834714716055807,-0.5383076367664157
2019-06-20,0.05114939367753068,0.10636420645449987,-0.7318806793762945,-0.059318860798878055,0.18701786148578703,0.3029455955672052,0.11613965335602397,0.006977140802646942,0.07467150156838234,-0.0993998703225906,-0.0690111876298966,-0.09546548558697854,0.37187353734932005,-0.8731266708430576,-0.5230131012508208
2019-06-21,0.05114582833198446,0.11571848672526698,-0.7232069022070486,-0.031709979284702795,0.21856849572310777,0.34441596772495175,0.11075423032573514,-0.017693724353508064,0.0688223519336118,-0.10757561182347355,-0.07136697317243755,-0.1028739714325166,0.38352979483587524,-0.8831010401040776,-0.47248394305096886
2019-06-23,0.05403111282734789,0.12483613080524039,-0.7826114782481246,-0.00920814235804696,0.25375856320930673,0.3829200855019401,0.11298262107084613,-0.032822056967139565,0.0714563426534909,-0.11043869373202578,-0.0712201565361425,-0.11336005581938421,0.3719608625404543,-0.8031684846548864,-0.4745217172422861
2019-06-24,0.05375630590100344,0.12599314035894574,-0.7546412818685608,0.011731860274738543,0.2763426367579461,0.39878701849077647,0.11139961832226881,-0.0452067018590971,0.0716633523112666,-0.1103465726032039,-0.06907805578571428,-0.1173395837852044,0.3781615672014218,-0.8019135014365326,-0.47789585183785843
2019-06-25,0.056030735504632015,0.13245334531296685,-0.8042516918528495,0.03073507098338641,0.2775710493356859,0.3529180612687878,0.11456902404667117,-0.05935968989063617,0.07400868623545057,-0.11396182174284078,-0.07020606745528238,-0.12270653949691028,0.33792487486425826,-0.8012753930069421,-0.4869283071441328
2019-06-26,0.05603154978975979,0.1329588357138341,-0.8146200199466357,0.046631185853974265,0.2845529045513956,0.3572780777636717,0.11403019322584892,-0.0669307411105311,0.0756231229889319,-0.11438024784641175,-0.06840629832320343,-0.1248593277236438,0.32320044983983776,-0.7968409032399517,-0.482472068976316
2019-06-27,0.053014091550316354,0.12229399852827728,-0.8455528216188641,0.0614172772322295,0.30627900583446444,0.36290224038216773,0.11227427389678277,-0.07357377505708343,0.07969277345486274,-0.1150978713439508,-0.0655936529869091,-0.12563570531815293,0.30160809620026946,-0.7890135561842109,-0.46402509189863994
