strategy,start,end,annual_return,annual_volatility,sharpe,max_drawdown,positive_year_share,yearly_p_value
Skew,1990-06-12,2024-03-28,0.05465793988393681,0.09810359733764751,0.5571451136069776,-0.23838589888943418,0.6857142857142857,0.001185929493088489
Trend,1990-10-17,2024-03-28,0.08031289940198491,0.12477428228555926,0.6436654888399219,-0.23297361125288096,0.6857142857142857,0.0008617659177145461
50% skew / 50% trend,1990-06-12,2024-03-28,0.06709181567562734,0.08294604407635063,0.8088609459647081,-0.17402701855640024,0.8,6.909782111138159e-05
