strategy,start,end,annual_return,annual_volatility,sharpe,max_drawdown,positive_year_share,yearly_p_value,period
Skew: 2000–2009,2000-01-03,2009-12-31,0.050754779302881525,0.11506099784740167,0.44111193412553634,-0.23838589888943396,0.6,0.11296962349799146,2000–2009
Skew: 2010–2019,2010-01-04,2019-12-31,0.04610960847470924,0.07420966738128208,0.6213423412586199,-0.14523460356913542,0.8,0.04062554912285933,2010–2019
Skew: 2020–present,2020-01-01,2024-03-28,0.06677699400476632,0.0988038230597395,0.675854353979715,-0.1777622033071815,0.8,0.4043130479904337,2020–present
