strategy,start,end,annual_return,annual_volatility,sharpe,max_drawdown,positive_year_share,yearly_p_value,time_active,kill_switch_activations
Skew — original,1990-06-12,2024-03-28,0.05465793988393681,0.09810359733764751,0.5571451136069776,-0.23838589888943418,0.6857142857142857,0.001185929493088489,1.0,0
Skew — kill switch,1990-06-12,2024-03-28,0.029907746626218208,0.07974581303726738,0.37503845640449496,-0.26020408144181517,0.4857142857142857,0.04092206183053784,0.6480635335073978,12
